tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,species_pass_tick,species_pass_organisms,species_pass_near_other,species_pass_drifting,species_pass_isolated,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,451,10343,0,155,137,81,78,1,8.42,0.853,0.782,0.202,0.157,0.236,-0.132,1.485,0.2912,1.2493,0.828,0.361,0.186,0.104,0.005,42,0,19,0,0,0,25057.36,1353.212,7688.826,19.434,25.898,13.924,2278.150,1207.798,0.138,2546.940,2037.552,929.970,2290.498,136.027,0.000098,-0.000069,25,0,15,4,11,11,3212,14,4,0.010,660,84,46,4,0,42,0,422,80,68,1,0,67,0,1951,327,2,4717.535,3782.266,6.907,0.463,0.000,396.768,228.594,4.704,18,2,0,2,0,11,1902,345,3,3769.212,2110.905,5.621,1.594,0.000,405.358,252.577,12.495,16,3,0,3,0,12,1478,238,2,2875.649,960.354,7.107,0.871,0.000,330.652,179.866,1.901,4,5,0,5,0,16,897,174,3,1440.002,231.327,1.991,0.000,0.000,189.464,99.729,0.442,4,2,0,2,0,29,1263,276,1,3142.365,210.183,0.272,5.246,0.000,268.185,181.119,7.904,0,2,0,2,0,35,1287,215,0,2067.500,19.403,0.000,11.250,0.010,273.743,149.914,19.993,0,1,0,1,0,18,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1874,16,32,2518,3,52,0,0,0,0,0,0,4181,375,202,4597,354,264,0,0,0,0,0,0,2.200,2.133,325.463,54.638,0,0,0,77,20,168,1737,119,97,2,5,6,65,69,8,22,12,16,41,45,1,19,3,6,21,26,3,18,3,6,21,31,2,53,35,37,23,0,0,0,0,30,35,25,13,0,0,0,0,21,8,10,17,0,0,0,0,21,11,15,13,0,0,0,0,0.3406,0.3406,1,0,0,0.3792,0.3792,1,0,0
61,2.0,499,9364,0,161,175,81,82,3,23.03,0.858,0.792,0.194,0.143,0.223,-0.207,1.476,0.3035,1.3020,0.825,0.466,0.172,0.103,0.002,52,0,13,0,0,0,25587.62,1377.624,7241.668,22.900,35.302,22.659,2460.002,2103.689,2.567,2297.048,1837.638,562.805,2430.568,92.888,0.000118,-0.000125,13,0,8,5,8,5,3474,5,5,6.310,611,38,36,3,0,32,1,455,125,121,2,0,119,0,2499,306,0,4780.000,3932.949,0.000,0.002,0.000,505.359,614.712,4.336,30,4,0,4,0,215,2185,292,2,3408.850,1910.600,17.610,0.566,4.512,472.878,489.673,25.185,13,1,0,1,0,35,1509,190,1,2514.977,839.220,9.213,1.112,1.797,339.969,275.358,3.919,6,1,0,1,0,9,838,103,1,847.703,136.761,0.658,0.000,0.000,176.192,134.408,1.163,0,2,0,2,0,90,1200,146,4,1792.336,115.648,1.459,0.000,0.000,255.625,249.031,1.007,0,0,0,0,0,0,1230,136,0,1282.500,12.959,0.000,14.910,0.001,261.613,217.075,9.622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,55,10,2663,65,140,0,0,0,0,0,0,4655,1584,257,4806,1584,394,0,0,0,0,0,0,10.002,3.061,1441.325,73.052,0,8,0,70,24,209,1282,424,83,6,7,5,68,69,6,79,14,6,45,30,1,28,6,6,16,26,0,27,9,4,19,21,1,52,35,36,25,0,0,0,0,27,24,20,11,0,0,0,0,22,7,4,15,0,0,0,0,16,8,11,10,0,0,0,0,0.3622,0.3622,1,0,0,0.2966,0.2966,1,0,0
91,3.0,580,8340,0,166,254,75,85,2,41.72,0.856,0.820,0.181,0.132,0.201,-0.349,1.473,0.2979,1.5021,0.794,0.446,0.138,0.101,0.013,71,12,16,0,1,0,27368.32,1371.509,10204.231,9.793,136.604,24.055,2757.686,2724.393,5.495,4094.307,3275.446,678.480,2645.692,174.234,0.000108,-0.000986,41,0,8,8,13,8,3606,8,8,9.062,548,41,35,0,0,31,4,549,164,130,0,0,130,0,3798,434,5,7632.635,6503.839,77.075,0.731,4.377,706.846,1062.786,9.681,76,3,2,1,0,129,2447,323,14,4062.250,2328.632,25.994,0.000,1.321,548.307,672.663,13.334,15,8,3,5,0,372,1699,168,11,2470.161,817.948,26.909,0.000,3.362,373.294,298.244,8.472,5,3,2,0,1,240,802,99,2,753.805,116.737,1.368,0.000,0.000,167.335,158.232,0.395,0,1,0,1,0,83,1164,136,1,1652.106,99.936,0.087,0.000,0.000,250.533,223.904,1.214,0,3,2,1,0,225,1179,65,0,732.500,6.222,0.000,0.000,0.003,245.000,183.591,6.881,0,3,3,0,0,220,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2149,60,102,2766,216,148,0,0,0,0,0,0,5928,2211,574,5161,2150,464,0,0,0,0,0,0,18.551,5.126,1990.064,134.494,0,30,0,96,26,203,1349,479,134,11,10,5,69,65,6,108,27,8,69,41,1,35,2,5,21,22,0,28,8,3,18,16,2,48,33,37,27,0,0,0,0,34,29,19,37,0,0,0,0,20,7,1,20,0,0,0,0,12,8,8,11,0,0,0,0,0.3248,0.3248,1,0,0,0.3138,0.3138,1,0,0
121,4.0,677,7336,0,178,351,66,82,4,57.75,0.849,0.843,0.151,0.106,0.187,-0.474,1.457,0.2906,1.6939,0.797,0.399,0.136,0.101,0.027,89,35,11,0,0,0,29235.41,1435.876,12181.314,6.379,80.405,22.354,3155.053,4562.628,5.375,5277.807,4222.246,487.704,2382.016,108.134,0.000124,-0.001786,17,0,10,1,7,7,4516,3,1,0.100,500,43,26,3,0,23,0,571,149,106,0,0,106,0,6408,521,1,9691.954,8491.426,8.980,0.600,0.000,1073.960,2905.965,16.382,111,24,15,9,0,1249,2672,390,13,4553.218,2642.428,64.690,0.000,0.000,597.962,658.166,21.306,18,8,8,0,0,856,1722,107,0,1572.500,536.077,0.000,0.000,0.000,375.162,273.325,6.246,1,3,3,0,0,308,773,73,0,600.000,99.648,0.000,0.000,0.000,161.481,185.221,0.042,0,1,1,0,0,114,1071,113,0,1390.000,96.941,0.000,0.960,0.000,236.697,211.027,2.686,0,4,3,1,0,445,1095,61,0,615.000,5.850,0.000,4.719,0.100,225.755,179.674,7.069,0,5,5,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241,150,74,2907,314,187,0,0,0,0,0,0,7912,4052,615,5829,3229,392,0,0,0,0,0,0,30.108,5.099,3815.740,131.046,1,21,0,97,21,254,1376,642,105,18,13,9,69,65,4,214,30,5,42,54,6,38,7,2,18,17,0,32,3,3,13,12,3,47,32,37,31,0,0,0,0,41,28,22,16,0,0,0,0,15,4,1,17,0,0,0,0,7,7,8,9,0,0,0,0,0.3416,0.3416,1,0,0,0.4461,0.4461,1,0,0
151,5.0,803,6234,85,190,488,56,69,4,70.11,0.828,0.885,0.115,0.091,0.172,-0.600,1.447,0.2990,1.9787,0.772,0.368,0.117,0.099,0.048,72,69,25,0,1,0,34621.40,1518.689,18397.615,30.284,173.200,24.907,3403.892,5268.623,7.134,7937.628,6350.103,993.929,3154.876,144.623,0.000134,-0.001129,54,0,23,2,20,18,5269,36,2,8.160,407,38,16,3,0,13,0,516,197,92,9,0,83,0,8602,805,12,17160.194,15307.489,69.200,0.304,8.160,1362.343,3606.573,16.569,191,57,36,21,0,3126,3006,317,1,3657.497,2087.891,1.567,0.895,0.000,674.335,766.023,24.105,11,9,7,2,0,928,1606,90,0,1200.000,446.695,0.000,3.831,0.000,328.217,252.688,9.074,3,10,10,0,0,1195,668,70,1,560.964,87.076,4.715,4.827,0.000,136.189,145.709,2.150,0,7,6,0,1,975,913,105,0,1312.500,115.396,0.000,12.268,0.000,203.816,182.922,1.164,0,5,5,0,0,678,905,40,4,431.952,4.181,0.002,0.000,0.000,181.657,144.263,1.551,0,5,5,0,0,670,1,1,0,0,0,0,0,0,0,0,0,0,151,803,718,0,0,2553,285,204,2988,404,224,0,0,0,0,0,0,9826,5216,701,5874,3128,478,0,0,0,0,0,0,50.906,8.746,4223.451,157.921,1,26,0,107,26,290,1525,633,117,29,12,10,69,64,6,204,34,3,41,204,2,31,5,0,17,15,1,31,3,2,8,11,1,45,32,44,28,0,0,0,0,191,19,24,16,0,0,0,0,11,3,1,18,0,0,0,0,5,6,5,6,0,0,0,0,0.6859,0.5233,7,2,0,0.5381,0.4442,18,0,0
181,6.0,1168,4839,85,196,864,41,67,3,81.27,0.797,0.994,0.086,0.074,0.129,-0.746,1.442,0.2904,2.5260,0.801,0.362,0.080,0.099,0.087,93,55,56,0,2,0,45234.67,1667.732,29838.254,20.628,288.495,22.084,4474.465,7747.470,5.264,16941.552,13553.241,2075.319,2867.587,354.930,0.000173,-0.000116,101,0,52,4,54,50,7478,65,4,12.719,277,39,33,2,0,31,0,497,171,127,5,0,115,7,16873,1350,12,30427.908,27363.659,142.290,1.471,12.719,2534.385,6274.514,70.258,461,80,32,47,1,3891,2922,251,7,3078.603,1738.536,31.050,0.000,0.000,666.674,720.786,21.445,6,11,7,4,0,1301,1543,74,2,1015.584,361.698,15.316,3.854,0.000,305.168,227.807,9.280,1,1,1,0,0,180,521,32,15,343.942,49.422,4.575,0.000,0.000,108.495,82.004,0.000,0,2,2,0,0,343,727,66,0,950.000,64.047,0.000,2.584,0.000,161.555,112.311,3.061,0,7,6,0,1,1154,691,22,0,252.500,3.768,0.000,0.000,0.000,136.660,84.804,0.553,0,8,7,1,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,151,803,718,0,0,2727,568,249,3114,409,275,0,0,0,0,0,0,15064,6976,1515,8213,2593,450,0,0,0,0,0,0,77.469,9.516,5277.361,377.200,2,49,8,128,34,318,1875,673,147,34,25,9,64,57,7,400,70,10,152,231,1,28,6,4,12,17,0,15,7,1,7,10,1,46,35,38,18,0,0,0,0,229,53,106,6,0,0,0,0,12,5,4,12,0,0,0,0,4,5,5,5,0,0,0,0,0.6162,0.5424,6,1,0,0.5222,0.4454,20,0,0
211,7.0,1601,3379,85,202,1310,31,58,6,83.71,0.780,1.064,0.071,0.065,0.103,-0.818,1.439,0.2963,2.7758,0.818,0.332,0.069,0.099,0.109,121,101,46,0,0,0,57768.02,1733.078,36866.207,20.527,409.091,28.350,6023.181,12112.926,5.610,20415.858,16332.687,1535.252,2050.231,276.099,0.000147,0.001532,76,0,40,6,44,38,9937,30,6,16.074,176,37,12,2,0,10,0,539,95,74,0,0,74,0,28903,1619,31,38867.170,34943.938,359.970,1.072,12.762,4236.120,10734.737,97.736,563,110,73,37,0,6395,2767,198,8,2533.459,1493.660,47.417,1.256,3.312,638.679,695.934,22.423,5,12,10,2,0,1926,1433,57,0,620.000,224.136,0.000,0.000,0.000,270.711,195.850,3.080,0,7,6,1,0,1123,436,20,5,153.727,31.327,0.451,0.000,0.000,89.118,63.054,0.000,0,2,2,0,0,357,593,33,2,419.595,29.034,1.089,2.126,0.000,127.127,84.502,1.904,0,4,4,0,0,807,492,28,0,245.000,1.645,0.000,0.000,0.000,93.635,52.439,2.330,0,6,6,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,151,803,718,0,0,2785,863,200,3128,488,332,0,0,0,0,0,0,22737,9050,2005,11886,3613,790,1,1,0,0,0,0,99.883,8.330,7847.427,589.937,2,224,6,153,29,362,2004,602,213,52,18,10,58,57,7,521,90,90,428,160,21,27,3,5,4,17,2,12,3,0,6,9,1,48,35,31,18,0,0,0,0,176,390,129,4,0,0,0,0,13,5,4,6,0,0,0,0,3,4,4,5,0,0,0,0,0.6926,0.5136,8,2,0,0.5291,0.4040,18,1,0
241,8.0,2002,1865,85,210,1724,17,51,7,76.93,0.769,1.107,0.063,0.056,0.089,-0.861,1.436,0.3001,2.8799,0.777,0.310,0.049,0.098,0.128,131,254,89,0,1,0,67997.41,1770.187,44765.454,26.976,467.124,24.726,7970.372,18917.516,10.778,26144.117,20915.294,2199.525,1611.607,394.594,0.000128,0.001441,98,0,85,4,89,85,14227,30,4,15.065,102,23,23,0,0,23,0,408,90,86,8,0,78,0,43646,1955,36,47614.510,43076.479,426.269,0.702,13.544,6252.926,17474.843,168.907,721,309,226,82,1,19122,2958,160,7,2417.045,1417.388,33.508,8.078,0.000,697.210,738.744,55.077,11,10,8,2,0,1675,1252,22,1,271.964,98.387,0.544,3.131,1.521,230.632,177.043,4.108,1,4,4,0,0,754,381,15,0,130.000,26.019,0.000,0.000,0.000,72.680,53.574,0.406,0,3,3,0,0,684,421,28,24,602.107,42.155,6.687,0.000,0.000,85.034,45.680,0.171,0,6,6,0,0,1357,269,15,0,200.000,2.641,0.000,0.000,0.000,45.560,22.238,1.315,0,8,7,1,0,1777,0,0,0,0,0,0,0,1,0,0,0,0,151,803,718,0,0,2987,1072,146,3140,699,406,11,0,0,0,0,0,32691,13188,2569,16105,6908,1425,131,1,3,0,0,0,118.126,7.953,13667.206,875.715,1,264,7,181,49,486,2230,776,225,65,16,13,53,58,5,724,139,58,483,304,16,29,6,0,6,9,1,6,1,0,2,7,1,49,37,25,18,0,0,0,0,78,280,212,291,0,0,0,0,8,3,3,2,0,0,0,0,2,2,2,4,0,0,0,0,0.5955,0.4156,9,1,0,0.5390,0.4560,18,1,0
271,9.0,1949,1239,85,215,1678,13,43,14,68.47,0.762,1.108,0.064,0.055,0.092,-0.865,1.430,0.3085,2.9120,0.802,0.298,0.042,0.097,0.123,144,373,70,0,6,0,57095.34,1832.626,27936.133,36.615,671.188,24.170,8718.796,26376.419,20.305,13733.099,10986.480,1668.861,848.407,328.043,0.000165,0.002656,113,0,66,4,59,55,16188,36,4,14.626,90,12,12,11,0,0,1,368,107,97,14,0,77,6,50135,1206,57,29617.755,26498.527,635.991,0.571,12.650,7103.908,24986.946,181.836,379,420,353,61,6,27615,2836,126,12,2098.179,1220.208,27.722,2.318,0.000,683.293,719.483,33.929,7,12,11,1,0,1704,1137,17,0,267.500,102.485,0.000,6.718,1.977,197.284,157.285,11.160,1,7,4,3,0,1812,285,15,0,112.500,18.082,0.000,0.000,0.000,49.643,42.698,0.969,0,2,1,1,0,487,291,4,8,127.870,9.669,2.080,12.382,0.000,51.690,27.100,10.504,0,4,4,0,0,1045,180,7,0,52.500,0.009,0.000,0.000,0.000,27.666,12.273,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,803,718,0,0,3069,1178,120,3243,853,432,30,0,0,0,0,0,36988,22307,2720,17666,8586,1369,210,85,28,0,0,0,134.191,8.328,21740.699,884.713,0,186,3,212,54,512,1404,600,86,74,25,11,43,58,4,1075,92,11,143,353,4,21,5,0,6,10,1,6,1,0,3,2,1,44,35,20,17,0,0,0,0,157,25,105,224,0,0,0,0,7,5,2,3,0,0,0,0,1,1,2,2,0,0,0,0,0.6186,0.4712,9,1,0,0.5474,0.6065,16,0,0
301,10.0,1569,1036,65,215,1313,8,33,17,94.46,0.767,1.083,0.078,0.057,0.109,-0.858,1.435,0.3105,2.8425,0.799,0.307,0.039,0.095,0.107,105,568,66,0,4,0,47811.75,1963.395,21722.577,31.700,700.292,22.882,7527.770,21182.393,25.335,9305.221,7444.177,1525.579,583.981,295.159,0.000175,0.004218,122,0,58,8,56,48,13676,54,8,22.591,46,19,19,10,0,9,0,344,112,107,2,0,104,1,41732,987,56,23991.731,20882.883,606.772,1.439,22.591,6012.863,19970.270,125.297,241,596,536,56,4,44128,2653,60,10,1242.568,747.064,42.956,0.059,0.000,654.407,667.672,21.226,9,19,18,1,0,2990,922,15,2,194.093,50.116,11.553,0.956,0.000,156.781,114.013,3.396,0,5,4,1,0,1232,212,2,0,15.000,2.430,0.000,0.000,0.000,37.758,32.628,0.540,0,5,5,0,0,1447,193,0,0,0.000,0.000,0.000,6.654,0.000,34.242,20.471,9.757,0,1,1,0,0,284,140,0,0,0.000,0.000,0.000,0.000,0.000,19.328,13.094,0.138,0,4,4,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,301,1569,1569,0,0,3128,1274,175,3283,1021,599,30,0,0,0,0,0,29812,15980,2185,15817,10082,1008,223,58,31,0,0,0,147.172,12.809,17369.766,696.871,1,252,4,221,58,599,1081,288,70,77,30,12,41,51,4,648,103,26,127,407,2,15,2,0,6,10,0,4,0,0,1,2,1,41,37,16,14,0,0,0,0,378,49,77,58,0,0,0,0,6,4,3,3,0,0,0,0,0,1,2,1,0,0,0,0,0.6771,0.5846,8,1,0,0.5028,0.5399,15,0,0
