tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,515,10517,0,150,178,95,92,0,13.38,0.925,0.894,0.160,0.146,0.207,-0.158,1.591,0.3243,1.3987,0.792,0.427,0.129,0.095,0.020,37,0,42,0,0,0,27883.63,1385.484,11497.884,94.144,40.746,9.406,2527.597,1314.303,0.000,6321.354,5057.084,2192.433,969.437,209.854,0.000106,-0.000274,26,0,34,8,19,13,3701,0,8,15.221,943,130,85,17,3,65,0,765,165,113,9,0,104,0,1852,419,2,5999.310,5157.127,3.868,0.016,9.739,415.206,360.601,15.242,59,3,0,3,0,24,2007,402,11,6916.234,3716.998,30.298,3.953,0.000,409.974,205.878,23.097,54,15,0,15,0,206,1370,302,1,3102.540,1011.387,4.168,6.158,5.175,303.479,146.195,9.443,6,5,0,5,0,73,1357,392,0,5005.000,920.373,0.000,6.788,0.000,328.759,153.741,10.242,8,4,0,4,0,34,1380,243,9,3271.892,208.248,2.332,38.518,0.301,277.455,149.699,13.457,0,4,0,4,0,63,1607,263,3,2995.975,35.493,0.081,23.490,0.006,372.043,153.095,8.848,0,3,0,3,0,26,0,4,1,0,5,2,0,4,1,0,0,0,2237,0,58,2173,14,50,8,0,0,0,0,0,4898,152,848,4675,132,461,0,0,0,0,0,0,0.993,2.121,175.784,222.698,0,0,0,66,44,174,2195,32,301,1,8,7,69,65,0,27,53,0,46,52,0,5,14,3,40,30,0,7,15,0,43,30,0,114,27,0,0,0,0,0,0,91,7,0,0,0,0,0,0,65,8,0,0,0,0,0,0,67,6,0,0,0,0,0,0,0.8753,0.8753,1,0,0,0.3845,0.3845,1,0,0
61,2.0,742,8725,0,157,384,94,107,0,21.65,0.991,1.017,0.149,0.116,0.161,-0.366,1.585,0.3255,1.5882,0.841,0.484,0.087,0.085,0.044,67,9,9,0,0,0,36148.44,1406.959,18790.498,12.534,98.058,17.558,3630.478,4289.193,0.000,10313.683,8250.947,434.713,1424.090,103.964,0.000132,-0.000036,46,0,7,2,4,4,5500,25,2,1.751,923,89,59,2,0,50,7,745,144,88,2,3,83,0,4657,661,5,13695.190,11772.075,36.496,0.000,0.000,1102.395,2625.717,37.964,152,11,9,2,0,465,3390,452,6,8905.246,4853.151,19.279,1.340,0.000,748.451,642.944,45.739,69,3,0,3,0,98,1565,241,5,2985.324,1018.670,13.197,0.977,0.000,361.571,225.063,7.428,8,0,0,0,0,0,1423,286,1,3645.043,701.425,3.031,1.748,1.486,342.079,236.670,5.088,6,0,0,0,0,0,1328,184,4,2486.195,174.267,0.184,2.395,0.264,274.228,202.634,3.379,0,0,0,0,0,0,1503,181,0,1707.500,15.968,0.000,4.323,0.000,350.109,177.938,2.130,0,2,0,2,0,95,0,0,1,0,5,0,0,4,0,0,0,0,2396,15,168,2179,78,161,30,0,0,0,0,0,8473,3030,1562,5393,955,1200,0,0,0,0,0,0,6.586,5.610,3030.360,412.439,0,0,0,68,51,181,2092,538,443,4,15,7,67,64,0,209,52,0,64,59,0,18,30,1,31,27,0,17,19,0,37,21,0,114,24,0,0,0,0,0,0,116,7,0,0,0,0,0,0,55,4,0,0,0,0,0,0,56,2,0,0,0,0,0,0,0.9021,0.9021,1,1,1,0.3342,0.3342,1,0,0
91,3.0,1136,6331,0,153,771,91,121,1,32.44,1.054,1.139,0.128,0.093,0.117,-0.529,1.574,0.3283,1.8703,0.858,0.484,0.061,0.075,0.066,71,46,39,0,0,0,49893.09,1443.055,35557.001,18.524,172.289,19.488,5738.035,9804.849,0.078,20568.777,16455.022,1720.173,1582.133,314.915,0.000162,0.000235,32,0,33,6,29,28,8627,4,6,4.203,843,96,83,1,3,71,8,828,124,57,6,0,51,0,10739,1431,11,32658.825,27715.259,126.849,0.686,3.455,2597.585,6725.949,91.517,378,59,38,21,0,1823,5496,481,4,9827.353,5444.280,30.001,1.826,0.000,1258.777,1582.115,60.710,81,11,5,6,0,518,1905,281,3,4184.667,1482.645,4.639,1.811,0.000,447.333,431.254,7.567,10,3,1,2,0,170,1486,236,2,3162.404,607.629,1.144,7.135,0.000,356.260,357.751,8.933,5,2,1,1,0,144,1352,116,6,1659.879,117.985,1.517,2.864,0.599,281.592,223.715,3.766,1,2,1,1,0,151,1446,103,2,1016.721,10.988,0.297,0.000,0.149,338.545,224.682,5.169,0,2,0,2,0,158,1,1,0,0,6,0,0,3,0,0,0,0,2489,51,210,2148,107,266,30,0,0,0,0,0,15311,7708,2514,7108,2132,1719,5,0,5,0,0,0,10.479,8.956,7813.323,825.017,0,7,0,67,70,196,2727,1065,626,6,18,3,63,63,0,315,228,4,127,97,0,35,26,1,25,34,0,22,18,0,32,19,0,109,20,0,0,0,0,0,0,217,8,0,0,0,0,0,3,54,6,0,0,0,0,0,0,47,4,0,0,0,0,0,0,0.9183,0.9183,1,1,1,0.3327,0.3327,1,0,0
121,4.0,1716,3206,0,153,1357,81,125,3,52.56,1.107,1.223,0.101,0.073,0.091,-0.635,1.575,0.3380,2.1413,0.833,0.405,0.043,0.069,0.079,94,120,90,0,0,0,70363.63,1431.791,56597.219,85.009,680.864,21.263,9493.217,15259.449,1.415,34228.449,27382.760,3519.683,1983.785,540.235,0.000153,0.001189,80,0,84,6,55,51,15253,2,6,8.409,797,121,93,23,4,40,25,829,251,209,16,0,192,1,22969,2288,41,53506.490,45176.502,492.197,1.090,0.000,5650.383,11051.211,175.279,645,144,80,64,0,5898,8270,727,29,16693.114,9637.427,172.140,3.199,6.972,1922.359,2480.817,107.309,122,40,26,14,0,2459,2258,195,3,3063.693,1150.620,9.920,3.128,0.910,543.927,569.382,18.182,14,7,4,3,0,604,1513,200,4,2255.028,398.468,2.391,9.857,0.000,362.724,380.812,8.739,2,3,3,0,0,318,1261,82,1,1159.411,77.638,0.182,54.398,0.527,261.032,155.702,22.299,0,5,3,2,0,546,1323,28,0,367.500,4.357,0.000,4.928,0.000,308.538,200.186,3.989,0,5,4,1,0,518,1,0,0,0,5,0,0,7,0,0,0,0,2480,72,263,2052,162,296,30,0,0,0,0,0,27245,9643,7572,10290,2601,2904,59,0,45,0,0,0,17.202,10.503,9730.766,2838.056,0,11,0,88,93,267,3573,919,1184,10,21,1,56,65,0,414,341,2,206,394,0,42,25,1,23,34,0,21,15,0,33,12,0,106,16,0,0,0,0,0,0,408,194,0,0,0,0,0,0,51,7,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0.7340,0.7340,1,0,0,0.2943,0.2943,1,0,0
151,5.0,1986,1204,51,153,1656,66,111,6,63.63,1.123,1.260,0.090,0.062,0.083,-0.684,1.575,0.3439,2.2720,0.880,0.288,0.034,0.069,0.085,92,208,127,0,0,0,71788.04,1478.816,45032.527,101.118,1345.543,20.104,13252.833,20784.990,6.120,26066.540,20853.232,3919.511,1283.223,728.065,0.000134,0.000563,171,0,121,6,81,78,22257,12,6,11.223,704,147,129,29,2,85,12,786,286,240,16,2,215,7,35646,1860,114,46015.721,38390.367,1121.916,0.704,6.690,8932.619,16030.833,343.167,528,238,151,87,0,11437,10666,410,25,9799.167,5773.036,143.904,9.415,3.307,2517.910,2953.940,177.061,65,52,26,26,0,3670,2144,79,6,1504.416,534.197,26.732,1.790,0.646,527.487,472.767,12.653,4,16,11,5,0,1279,1389,87,6,1270.301,239.960,4.673,14.850,0.000,333.689,361.283,12.524,1,8,8,0,0,991,1141,59,8,728.048,48.545,2.679,41.688,0.581,235.896,137.567,20.541,0,4,3,1,0,522,1134,15,0,147.500,1.002,0.000,21.447,0.000,256.231,162.574,8.480,0,11,9,2,0,1535,1,0,0,0,7,0,0,2,0,0,0,0,2494,64,377,2072,249,267,30,0,0,0,0,0,39021,10894,9312,12976,2856,3903,123,0,5,0,0,0,22.770,11.435,12147.079,3656.389,0,29,0,107,102,316,2527,750,535,13,21,1,59,59,0,335,418,9,461,433,0,29,28,0,29,25,0,16,12,0,26,12,0,105,14,0,0,0,0,0,0,753,150,0,0,0,0,0,0,45,9,0,0,0,0,0,0,34,4,0,0,0,0,0,0,0.8448,0.8218,16,7,3,0.4057,0.3617,23,0,0
181,6.0,1762,667,51,150,1468,50,94,14,78.90,1.114,1.263,0.087,0.052,0.089,-0.698,1.567,0.3358,2.2986,0.853,0.220,0.032,0.071,0.084,74,340,108,0,3,0,57350.27,1515.492,20656.837,83.232,1424.497,17.087,13563.218,17593.736,16.734,9589.384,7671.507,2717.412,266.316,618.042,0.000126,-0.000248,185,0,99,9,61,54,22434,6,9,8.941,538,131,128,35,6,84,2,767,313,298,11,1,285,1,37272,842,133,21609.335,17549.555,1214.889,0.577,1.036,9402.397,13312.465,320.532,198,335,254,79,2,21382,10320,213,34,5106.108,2722.800,175.589,4.908,7.210,2497.503,2676.936,177.885,21,69,50,18,1,5180,2074,43,12,890.006,302.290,34.014,0.498,0.000,531.981,494.829,12.815,2,12,11,1,0,1573,1106,12,0,160.000,26.029,0.000,9.181,0.526,269.993,252.704,14.166,0,10,10,0,0,1462,989,18,0,187.500,15.540,0.000,35.530,0.169,211.622,113.376,18.537,0,4,3,1,0,663,775,5,0,37.500,0.154,0.000,23.597,0.000,181.117,90.195,9.297,0,12,12,0,0,2017,0,0,0,0,5,0,0,2,0,0,0,0,2530,82,482,2031,297,182,30,0,0,0,0,0,39884,7907,9123,12542,2187,3462,110,0,11,0,0,0,31.541,10.261,8766.830,3322.970,0,83,1,113,139,357,1146,255,228,12,24,1,55,58,0,282,396,5,491,294,0,28,22,1,25,18,0,9,14,0,19,8,0,100,14,0,0,0,0,0,0,723,67,0,0,0,0,0,0,39,5,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0.8949,0.8951,16,10,11,0.4301,0.3618,19,0,0
211,7.0,1403,408,51,139,1162,37,65,16,92.57,1.095,1.255,0.087,0.048,0.097,-0.712,1.571,0.3322,2.2748,0.861,0.180,0.032,0.071,0.084,68,436,61,0,3,0,42760.03,1480.752,17084.201,60.136,824.857,14.192,11298.753,18494.110,26.084,5882.218,4705.774,1604.832,242.511,372.594,0.000128,-0.001569,100,0,49,12,34,28,19096,1,12,17.976,382,75,71,14,0,56,0,602,254,248,9,0,239,0,31586,708,72,18063.543,14874.880,695.673,0.188,8.359,7904.107,14959.287,216.176,131,353,319,33,1,26521,8429,141,21,3503.226,1955.439,111.396,1.534,7.415,2062.196,2311.718,97.802,8,92,76,14,2,8468,1626,35,6,575.794,191.863,17.134,0.358,0.000,411.996,495.776,12.197,0,18,17,1,0,2080,752,13,0,202.500,36.749,0.000,9.372,0.826,182.068,123.712,14.317,0,11,11,0,0,1912,844,7,0,70.000,4.716,0.000,27.950,1.375,184.503,110.930,13.564,0,5,4,1,0,950,481,2,0,15.000,0.030,0.000,2.757,0.000,108.286,41.279,1.557,0,8,8,0,0,1599,0,0,0,0,0,0,0,0,0,0,0,0,2390,127,559,1964,281,231,30,0,0,0,0,0,33779,10719,8041,9877,1563,2385,62,0,0,0,0,0,32.329,11.933,11834.349,2873.524,0,67,2,155,110,389,913,273,196,16,28,1,46,48,0,400,266,4,278,214,0,20,20,0,15,10,0,8,8,0,13,8,0,81,14,0,0,0,0,0,0,445,51,0,0,0,0,0,0,20,5,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0.9160,0.8953,10,7,5,0.4383,0.3774,19,0,0
241,8.0,987,447,51,136,782,23,46,9,112.11,1.076,1.199,0.088,0.053,0.118,-0.699,1.571,0.3347,2.1192,0.900,0.176,0.041,0.075,0.082,52,440,32,0,9,0,31793.64,1454.711,12519.003,36.204,440.080,12.967,8357.640,15006.327,21.476,2782.611,2226.089,765.031,64.707,204.604,0.000119,-0.002549,49,0,26,6,21,15,14630,0,6,15.041,236,55,55,10,0,44,1,478,171,170,1,3,166,0,23269,498,38,12522.367,10343.333,371.098,0.146,10.040,5835.119,12593.026,129.609,58,381,353,21,7,36190,6132,143,8,3541.395,2017.201,64.856,0.506,5.001,1506.124,1615.397,44.631,3,60,57,2,1,7714,1092,15,1,294.621,110.278,3.156,0.000,0.000,273.877,319.668,10.089,1,18,18,0,0,2411,585,6,0,115.000,26.807,0.000,2.459,0.000,133.676,88.640,4.504,0,2,2,0,0,432,656,8,2,97.186,6.507,0.970,13.819,0.000,138.334,79.327,7.861,0,9,7,1,1,2022,253,0,0,0.000,0.000,0.000,4.232,0.000,50.442,16.341,0.278,0,5,3,2,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,2269,202,648,1854,375,259,17,0,0,0,0,0,24292,10278,4683,7628,1353,1628,67,0,0,0,0,0,39.278,15.274,10867.878,1681.070,0,62,2,142,149,425,677,176,128,21,32,1,39,43,0,287,140,12,185,158,0,13,14,1,11,7,0,3,6,0,4,10,0,72,11,0,0,0,0,0,0,288,67,0,0,0,0,0,0,13,6,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0.8604,0.7997,10,5,1,0.4442,0.3615,16,0,0
271,9.0,785,634,51,136,595,14,40,7,132.41,1.057,1.161,0.091,0.049,0.138,-0.696,1.570,0.3222,2.0827,0.873,0.235,0.043,0.079,0.081,63,249,18,0,2,0,27726.08,1484.978,11333.218,14.244,298.907,11.075,5981.512,9715.316,12.560,2838.825,2271.060,379.659,85.812,157.375,0.000089,-0.003617,41,0,15,3,10,8,10729,0,3,4.636,157,18,17,4,0,13,0,399,93,82,3,0,79,0,15628,445,25,11052.259,9201.257,209.476,0.333,3.541,3974.562,8016.313,89.295,60,211,199,11,1,23169,4788,141,13,3582.428,2016.624,86.164,0.136,0.448,1177.857,1196.240,27.334,3,39,34,4,1,6173,767,15,1,191.090,66.745,3.132,0.000,0.000,187.850,134.209,3.505,0,4,4,0,0,873,550,7,0,105.000,21.581,0.000,1.640,0.000,124.870,110.645,2.554,0,2,2,0,0,392,378,1,2,8.924,0.712,0.135,7.499,0.647,74.121,24.434,5.176,0,7,7,0,0,1702,155,0,0,0.000,0.000,0.000,0.000,0.000,28.880,8.980,0.000,0,2,2,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,2237,268,661,1862,400,316,0,0,0,0,0,0,15865,6440,3434,6311,1414,1466,90,0,27,0,0,0,41.350,16.451,6804.890,1237.713,0,22,1,151,161,499,624,131,142,24,33,1,40,38,0,215,155,4,103,118,0,12,13,1,7,7,0,4,4,0,3,3,0,70,9,0,0,0,0,0,0,194,31,0,0,0,0,0,0,10,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.8959,0.8711,8,4,2,0.3866,0.3629,14,0,0
301,10.0,696,872,46,137,520,11,28,9,149.57,1.044,1.146,0.088,0.047,0.152,-0.709,1.575,0.3296,2.0425,0.851,0.255,0.039,0.079,0.078,47,158,23,0,1,0,26495.64,1502.470,12061.313,17.124,296.697,10.105,4905.995,8010.605,11.796,3973.526,3178.821,659.913,266.922,161.407,0.000099,-0.003379,38,0,19,4,20,16,8803,0,4,11.648,129,11,11,1,0,10,0,242,67,67,2,0,65,0,12443,479,28,12160.512,10127.855,247.412,0.422,7.100,3178.864,6369.211,78.018,78,133,119,14,0,17032,3998,127,6,3190.776,1829.498,48.105,1.094,4.548,999.627,1183.309,22.654,10,30,24,5,1,5534,623,13,1,153.181,48.747,1.121,0.000,0.000,155.701,159.404,1.858,0,5,5,0,0,1181,420,4,0,65.000,12.183,0.000,0.499,0.000,92.501,66.060,5.399,0,7,7,0,0,1913,281,3,0,22.500,2.202,0.000,3.462,0.000,53.552,21.043,0.840,0,3,3,0,0,884,120,1,3,21.343,0.001,0.060,0.000,0.000,18.451,6.627,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,370,638,1858,362,454,0,0,0,0,0,0,12149,5333,2965,5646,1704,1174,90,28,2,0,0,0,44.584,18.204,5721.254,1030.252,0,21,0,189,166,527,644,140,117,26,38,0,40,33,0,204,123,5,87,101,0,9,10,0,4,5,0,4,2,0,2,3,0,65,8,0,0,0,0,0,0,177,16,0,0,0,0,0,0,6,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.9212,0.9227,5,4,4,0.4244,0.3818,11,0,0
