tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,451,12787,0,157,102,79,113,1,17.44,0.864,0.788,0.184,0.201,0.240,-0.048,1.584,0.3309,1.2739,0.788,0.420,0.187,0.101,-0.001,51,0,16,0,0,0,25240.80,1385.137,6624.052,37.341,25.315,16.236,2343.408,618.535,0.136,2408.122,1926.498,909.285,1779.878,86.982,0.000103,-0.000229,9,0,10,6,2,2,2814,0,6,1.726,612,47,31,4,0,25,2,622,74,63,5,0,58,0,1405,286,1,3055.630,2612.972,16.952,0.045,0.000,325.187,84.377,3.386,13,2,0,2,0,32,1503,247,2,2755.796,1599.878,5.304,0.000,0.000,289.347,96.152,2.138,9,0,0,0,0,0,1444,266,2,2950.241,926.994,2.646,1.021,0.000,307.527,81.428,3.294,4,2,0,2,0,29,1994,399,1,4359.478,772.473,0.390,8.065,1.397,467.274,128.656,9.020,7,4,0,4,0,101,1351,393,0,4960.000,316.487,0.000,6.929,0.287,294.733,79.892,4.614,3,2,0,2,0,48,1116,217,3,2391.795,22.938,0.024,19.557,0.041,244.478,75.943,8.263,0,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0,0,1,2244,15,0,2181,0,45,0,0,0,0,0,0,4598,89,297,4215,45,234,0,0,0,0,0,0,0.231,0.406,6.785,22.303,0,0,0,11,42,239,1992,29,111,1,2,15,64,75,0,2,11,17,43,29,0,7,13,14,52,27,0,2,7,7,34,29,0,154,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.4279,0.4279,1,0,0
61,2.0,478,11517,0,166,120,75,117,2,31.00,0.874,0.783,0.182,0.181,0.239,-0.102,1.566,0.3244,1.2440,0.820,0.470,0.192,0.101,-0.001,64,0,18,0,0,0,26293.22,1431.525,5891.203,38.021,48.145,20.559,2457.033,598.131,2.171,1775.450,1420.360,930.888,1835.163,129.859,0.000081,-0.000468,22,0,15,3,5,4,2890,9,3,5.871,495,30,24,5,0,17,1,614,107,107,6,0,101,0,1635,251,0,2600.000,2234.297,0.000,0.097,5.739,391.330,88.698,6.581,14,3,0,3,0,131,1658,244,3,2758.880,1611.027,21.015,0.000,0.000,327.741,97.878,5.954,12,4,0,4,0,201,1497,221,9,2927.740,930.868,17.663,0.000,0.000,325.379,81.793,4.695,3,2,0,2,0,85,1926,320,0,3275.000,587.268,0.000,13.440,0.000,451.257,116.549,9.951,2,0,0,0,0,0,1277,270,1,3899.615,250.326,0.097,8.409,0.130,280.579,71.508,3.396,2,1,0,1,0,34,996,189,0,2135.000,25.111,0.000,10.204,0.001,213.271,62.800,3.364,0,5,0,5,0,221,0,0,0,0,1,0,0,0,0,0,0,0,2577,66,30,2299,25,38,0,0,0,0,0,0,4633,235,606,4341,132,870,15,0,0,0,0,0,1.099,0.631,18.681,62.288,0,0,0,10,59,269,1608,68,288,4,4,17,64,77,0,8,31,8,45,28,0,8,22,14,47,26,0,3,12,6,29,25,0,158,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.3870,0.3870,1,0,0
91,3.0,534,10266,0,168,167,73,126,2,38.70,0.898,0.774,0.165,0.170,0.221,-0.186,1.565,0.3370,1.2434,0.837,0.452,0.178,0.102,-0.001,80,0,9,0,0,0,28382.53,1503.440,7563.914,16.421,110.090,23.753,2719.831,661.220,4.074,2680.107,2144.085,399.316,2529.899,144.104,0.000135,0.000177,38,0,7,2,4,3,3504,27,2,4.935,462,35,33,3,0,28,2,780,211,198,1,0,195,2,2252,335,0,4210.000,3593.658,0.000,0.008,0.000,515.614,109.838,15.351,30,1,0,1,0,22,2072,282,5,3656.279,2055.120,20.880,0.000,3.798,421.329,112.662,16.310,20,1,0,1,0,82,1688,214,0,2847.500,912.341,0.000,0.000,0.000,367.908,90.582,9.982,9,0,0,0,0,0,1932,282,6,3220.345,552.428,13.059,1.562,1.137,453.834,119.002,5.148,1,3,0,3,0,223,1286,238,0,3307.500,221.801,0.000,3.235,0.000,280.787,75.004,2.478,1,2,0,2,0,138,930,161,0,1680.000,19.073,0.000,6.680,0.000,201.775,55.587,3.493,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,2693,114,52,2293,30,138,0,0,0,0,0,0,5094,377,1107,5036,190,1106,30,0,0,0,0,0,1.519,1.236,22.526,93.878,0,0,0,9,59,298,1617,87,353,5,8,16,61,78,0,11,40,16,69,31,0,4,27,15,51,29,0,7,8,7,32,19,0,155,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.3989,0.3989,1,0,0
121,4.0,600,9103,0,176,222,74,128,3,47.16,0.910,0.769,0.153,0.148,0.210,-0.254,1.568,0.3463,1.2421,0.828,0.443,0.156,0.106,-0.003,86,2,13,0,0,0,30609.65,1580.075,8303.266,21.743,238.366,23.144,3051.120,791.645,4.156,3231.908,2585.526,523.393,2561.084,100.184,0.000135,0.001544,77,0,10,3,8,6,4461,59,3,8.350,485,36,33,4,0,29,0,867,191,169,0,0,165,4,3159,389,6,5269.906,4417.022,64.981,0.036,3.698,702.440,159.849,40.019,46,5,0,5,0,258,2554,332,7,4025.677,2262.980,19.112,0.233,4.444,523.276,146.085,27.249,17,2,0,2,0,101,1857,191,1,2279.890,722.527,2.151,0.000,0.000,400.668,103.032,9.485,4,3,0,3,0,204,1947,261,1,2853.717,510.403,0.892,0.000,0.207,451.265,116.980,2.001,2,2,2,0,0,215,1283,169,3,2166.417,130.069,0.299,0.000,0.000,280.964,73.607,1.197,1,0,0,0,0,0,930,135,0,1485.000,15.468,0.000,13.124,0.000,201.566,55.990,8.949,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,2786,170,187,2363,3,206,0,0,0,0,0,0,5512,542,1100,6188,493,1102,30,0,0,0,0,0,2.020,2.257,41.385,89.694,0,0,0,18,72,330,1583,99,318,6,18,15,58,79,0,28,41,17,100,36,0,8,23,15,54,28,0,8,13,6,32,15,0,152,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.4067,0.4067,1,0,0
151,5.0,713,7880,49,181,326,73,133,3,62.11,0.937,0.764,0.135,0.136,0.187,-0.346,1.571,0.3359,1.2719,0.812,0.431,0.117,0.112,-0.003,89,7,8,0,0,0,34537.77,1627.096,10904.842,11.762,186.013,18.445,3500.793,947.677,5.303,5236.813,4189.451,351.086,2653.392,109.965,0.000121,0.002443,77,0,3,5,6,2,6069,59,5,9.384,494,12,10,1,0,6,3,930,284,258,0,0,253,5,4579,474,4,7140.937,5930.955,42.308,0.052,3.712,974.722,232.682,61.049,74,2,2,0,0,238,3326,398,7,5614.891,3233.654,12.309,0.386,5.480,683.739,195.251,42.721,38,2,2,0,0,204,1954,208,0,2802.500,924.521,0.000,0.000,0.000,426.074,111.122,14.843,6,2,1,1,0,249,1917,230,1,2312.485,412.355,4.225,0.000,0.000,432.075,110.291,0.614,0,3,1,2,0,420,1290,168,5,2221.603,142.110,0.563,0.000,0.192,282.495,70.556,1.468,0,0,0,0,0,0,922,104,1,1115.056,12.165,0.000,1.940,0.000,197.493,55.840,2.345,0,1,1,0,0,143,0,0,0,0,4,0,0,0,0,0,0,0,2851,220,324,2452,20,249,0,0,0,0,0,0,5953,542,1004,8005,775,1962,30,0,0,0,0,0,2.683,3.373,60.329,119.582,0,0,0,17,92,352,1684,131,332,11,19,15,59,77,0,29,91,15,125,66,0,10,30,12,51,30,0,9,12,4,27,21,0,151,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,1.0000,1.0000,14,14,14,0.4573,0.4154,18,0,0
181,6.0,842,6631,49,188,457,65,132,2,85.98,0.960,0.752,0.112,0.111,0.170,-0.433,1.585,0.3368,1.2798,0.800,0.372,0.106,0.117,-0.003,87,15,16,0,1,0,39586.79,1737.001,13531.585,61.682,367.524,22.986,4263.787,1217.939,4.283,6621.234,5296.987,905.644,2320.425,244.927,0.000109,0.002951,102,0,8,8,2,0,7714,47,8,21.239,488,38,17,7,0,4,4,1031,357,349,1,0,347,1,6605,525,25,8895.395,7173.461,156.020,0.000,20.668,1371.286,345.788,90.553,91,7,5,2,0,974,4727,548,17,8107.719,4658.480,61.742,0.000,0.000,995.533,285.848,66.266,49,3,3,0,0,389,2157,182,1,2533.868,844.801,4.035,0.000,0.000,492.086,122.864,19.651,4,1,0,1,0,18,1852,232,5,2523.311,447.040,9.386,0.462,0.000,417.994,97.055,0.251,1,4,3,1,0,624,1266,141,7,2058.146,133.960,1.700,0.000,0.566,281.465,69.161,3.720,1,3,1,2,0,489,817,100,0,1397.500,20.399,0.000,39.982,0.005,171.435,48.416,17.886,0,6,3,2,1,1003,0,0,0,0,0,0,0,1,0,0,0,0,2990,271,319,2488,60,243,0,0,0,0,0,0,6775,367,1569,10619,885,4017,30,0,0,0,0,0,2.910,3.404,48.591,256.842,0,0,0,23,120,438,1830,92,553,12,17,18,59,82,0,28,179,21,122,107,0,9,37,12,47,27,0,7,19,6,12,21,0,159,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1.0000,1.0000,16,16,16,0.5079,0.4005,18,0,0
211,7.0,982,5489,49,188,606,56,132,3,103.58,0.979,0.737,0.095,0.093,0.153,-0.501,1.579,0.3301,1.3186,0.818,0.378,0.096,0.123,-0.007,94,32,17,0,0,0,45997.07,1888.406,15356.082,8.347,430.697,21.321,5107.982,1668.344,3.346,7927.979,6342.384,549.696,1699.093,228.499,0.000133,0.003916,109,0,11,6,9,9,10465,73,6,1.583,383,12,7,1,0,2,4,1164,561,542,1,0,535,6,9388,629,16,9956.213,8110.229,111.461,0.208,0.000,1881.972,567.972,157.778,115,13,10,3,0,1750,6538,572,14,9683.347,5646.573,107.694,1.157,0.000,1402.201,426.693,112.103,57,12,5,7,0,1124,2321,192,2,2873.810,967.282,5.401,0.000,0.000,528.014,131.275,29.396,10,3,3,0,0,607,1678,171,2,1640.041,311.738,1.674,0.882,1.384,362.353,83.214,4.947,0,5,5,0,0,866,1176,133,0,2065.000,131.172,0.000,0.000,0.000,251.547,59.062,0.000,1,6,6,0,0,1201,693,40,2,578.367,8.339,0.008,4.517,0.199,135.932,36.532,8.914,0,4,3,1,0,817,0,0,0,0,0,0,0,2,0,0,0,0,3121,275,253,2513,83,284,0,0,0,0,0,0,8056,410,2351,13686,902,5315,52,0,0,0,0,0,3.128,3.461,47.379,345.566,0,0,0,22,133,512,1809,103,540,12,18,23,54,81,0,35,208,33,113,217,0,10,42,10,40,30,0,9,16,6,12,13,0,158,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1.0000,1.0000,16,16,16,0.5123,0.4214,19,0,0
241,8.0,1213,4414,49,208,828,48,129,4,115.63,0.998,0.735,0.087,0.082,0.142,-0.562,1.571,0.3462,1.3525,0.776,0.332,0.085,0.126,-0.006,125,28,15,0,0,0,53794.55,2045.812,19505.233,13.459,644.247,22.262,6143.509,2282.928,4.607,11309.534,9047.627,496.902,2241.089,336.076,0.000174,0.005294,138,0,11,4,12,8,13435,74,4,9.055,302,3,2,0,0,1,1,1295,607,570,3,0,567,0,12875,739,35,14188.479,11482.434,338.562,0.307,4.183,2553.249,935.994,239.541,154,14,5,9,0,1468,8484,705,14,11903.420,6904.626,140.638,0.363,4.872,1846.549,580.275,141.066,92,9,7,2,0,1380,2321,153,6,2121.655,713.791,27.052,0.000,0.000,528.413,142.802,32.521,3,6,6,0,0,1283,1620,127,1,1190.791,220.252,2.253,3.734,0.000,343.707,77.739,2.100,1,2,2,0,0,453,1035,73,0,1072.500,64.909,0.000,0.000,0.000,205.370,51.373,0.371,0,4,4,0,0,909,539,20,8,272.944,2.091,0.601,0.000,0.000,94.467,24.485,0.085,0,4,4,0,0,903,0,0,0,0,2,0,0,1,0,0,0,0,3263,270,247,2697,90,317,0,0,0,0,0,0,9488,474,2286,17282,1478,4849,104,0,0,0,0,0,3.327,3.700,80.671,304.059,0,0,0,24,156,606,1861,79,334,12,20,25,59,92,0,68,172,27,175,386,0,8,35,7,36,43,0,8,13,2,12,13,0,176,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1.0000,1.0000,15,15,15,0.5096,0.4402,20,0,0
271,9.0,1422,3365,49,221,1040,39,122,4,154.05,1.013,0.736,0.079,0.077,0.134,-0.607,1.583,0.3464,1.4069,0.764,0.299,0.076,0.129,-0.007,109,47,29,0,1,0,61278.53,2238.773,21764.255,24.292,794.901,20.597,7501.629,2889.934,6.551,11856.913,9485.531,1068.434,2372.733,332.684,0.000118,0.004657,164,0,22,7,17,15,16215,63,7,7.102,228,15,12,3,0,6,3,1257,591,572,4,0,563,5,17147,866,77,16869.984,13500.001,517.510,0.261,2.593,3418.611,1285.591,297.875,168,23,14,9,0,3191,10887,754,20,12590.688,7229.119,162.028,1.190,2.560,2381.413,775.623,156.462,89,21,12,9,0,2354,2264,128,3,2022.136,669.546,4.805,0.000,0.000,520.004,139.867,30.142,7,9,8,1,0,1737,1531,100,0,977.500,185.900,0.000,7.366,1.359,323.593,71.284,6.119,1,7,6,1,0,1828,959,81,1,1136.499,71.503,0.156,8.372,0.590,180.219,48.313,7.425,1,2,1,1,0,459,367,25,0,327.500,4.371,0.000,0.000,0.000,63.104,14.290,0.110,0,8,6,1,1,2055,0,0,0,0,2,0,0,1,0,0,0,0,3514,326,348,2977,96,306,0,0,0,0,0,0,12027,460,2492,20957,2982,4074,171,0,0,0,0,0,3.710,4.419,186.172,281.219,0,0,0,37,180,732,1998,81,372,15,24,18,67,97,0,117,197,53,273,400,0,12,40,6,35,29,0,3,11,2,8,15,0,182,0,0,0,0,0,0,0,726,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1.0000,1.0000,15,15,15,0.5406,0.4261,18,1,0
301,10.0,1611,2563,46,232,1241,28,110,4,158.55,1.028,0.746,0.079,0.072,0.127,-0.640,1.581,0.3473,1.4577,0.764,0.276,0.062,0.129,-0.006,107,58,36,0,1,0,67842.58,2435.753,22426.947,42.547,832.091,18.413,8690.535,3311.929,7.134,11972.762,9578.210,1545.595,1886.044,505.404,0.000146,0.003441,178,0,34,2,15,14,19014,63,2,0.789,268,30,27,8,0,14,4,1255,518,504,15,0,484,5,21341,830,59,16819.767,13486.828,427.757,0.442,0.000,4257.424,1590.518,331.763,172,31,17,14,0,3228,12721,705,47,14155.848,8110.887,270.616,0.587,0.182,2838.494,883.522,156.912,98,38,19,19,0,4461,2146,101,7,1598.228,489.255,38.385,4.099,0.000,496.990,131.318,26.725,1,7,7,0,0,1398,1364,95,1,962.473,183.943,0.749,18.781,0.000,287.914,68.137,4.485,0,6,6,0,0,1683,776,44,1,701.745,47.556,1.149,17.849,0.607,136.842,40.747,10.700,0,9,7,1,1,2455,228,7,0,87.500,0.959,0.000,0.000,0.000,38.009,9.004,0.055,0,2,2,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,3606,325,475,3129,120,272,0,0,0,0,0,0,14283,635,3479,24113,4706,4907,180,0,9,0,0,0,3.514,5.124,312.063,404.605,0,0,0,40,183,799,1824,96,494,15,29,20,72,96,0,193,326,52,199,471,0,13,31,7,33,26,0,0,6,4,6,12,0,188,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1.0000,1.0000,16,16,16,0.5206,0.4070,19,1,0
