tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,434,10290,0,157,100,77,100,0,13.56,0.832,0.804,0.238,0.157,0.242,-0.035,1.522,0.3310,1.3273,0.830,0.433,0.181,0.102,-0.001,40,0,25,0,0,0,23865.46,1373.890,5065.538,53.818,12.540,13.085,2249.371,1044.577,0.000,2020.391,1616.313,1316.085,674.182,132.300,0.000096,-0.000130,8,0,20,5,7,5,3008,0,5,6.247,578,77,57,9,0,48,0,786,174,142,6,0,127,9,1307,184,0,1800.000,1477.965,0.000,0.399,0.000,283.125,146.320,2.162,11,3,0,3,0,4,1722,318,0,3155.000,1837.487,0.000,1.049,3.709,340.649,186.865,5.772,7,6,0,6,0,111,1560,256,5,2051.997,687.543,9.680,0.000,1.566,311.870,175.126,5.948,4,6,0,6,0,120,1565,252,0,3237.500,512.292,0.000,8.685,0.886,350.081,157.947,2.218,8,4,0,4,0,18,961,111,3,951.365,72.316,2.860,13.177,0.000,246.681,91.237,4.372,0,0,0,0,0,0,1448,262,0,2647.500,16.875,0.000,24.262,0.085,305.927,183.258,5.357,0,1,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,0,1919,0,66,2438,0,47,3,0,0,0,0,0,4203,8,365,4360,41,409,0,0,0,0,0,0,0.000,3.081,26.311,111.242,0,0,0,61,73,152,1528,15,157,0,6,31,29,77,14,3,11,20,16,44,6,1,21,28,19,25,6,3,14,17,18,14,11,151,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.3687,0.3687,1,0,0
61,2.0,453,9312,0,164,119,76,94,1,27.06,0.824,0.817,0.229,0.159,0.238,-0.088,1.509,0.3642,1.3874,0.836,0.433,0.176,0.102,-0.004,46,1,22,0,0,0,23315.31,1408.935,4196.922,30.629,82.737,17.348,2275.702,1281.142,0.095,1461.666,1169.333,1081.879,1097.321,158.165,0.000087,-0.001117,27,0,15,7,10,8,2975,5,7,6.130,553,95,66,6,1,59,0,682,87,44,1,0,42,1,1598,205,7,1798.167,1405.739,41.559,0.032,0.000,338.832,251.064,6.719,16,2,1,1,0,62,1640,236,8,2578.431,1520.999,22.207,1.295,3.372,319.424,187.113,5.120,9,5,0,5,0,221,1389,179,1,1450.515,482.694,6.076,0.000,0.696,281.367,169.713,3.064,2,2,0,2,0,101,1531,184,3,2322.918,360.703,2.152,2.025,1.989,344.532,223.888,2.636,0,5,0,5,0,246,959,110,3,1170.258,77.663,1.093,12.634,0.000,241.453,114.892,5.908,1,0,0,0,0,0,1356,232,0,2387.500,16.457,0.000,8.512,0.073,285.820,206.687,7.378,0,2,0,2,0,98,0,0,0,0,0,0,0,1,0,0,0,0,2082,0,216,2720,0,113,30,0,0,0,0,0,4114,214,771,4359,365,1079,0,0,0,0,0,0,0.000,9.725,293.675,246.983,0,0,0,52,59,172,1261,150,358,0,13,31,29,77,14,15,25,22,14,36,7,10,31,12,18,18,5,9,19,13,15,15,5,151,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.3223,0.3223,1,0,0
91,3.0,491,8346,0,171,154,69,97,1,35.51,0.823,0.837,0.219,0.176,0.233,-0.173,1.530,0.3596,1.4769,0.800,0.421,0.159,0.101,-0.003,48,4,7,0,0,0,24031.68,1460.748,5107.229,14.833,63.078,18.010,2387.508,1758.761,1.428,1774.822,1419.858,324.924,963.909,74.944,0.000097,-0.001483,20,0,7,0,2,2,2950,5,0,0.000,465,46,34,2,0,32,0,709,46,36,3,1,32,0,2181,294,1,2921.227,2323.814,12.790,0.003,0.000,448.781,496.927,2.994,32,0,0,0,0,0,1851,273,1,2599.097,1524.593,5.324,0.153,0.000,351.022,253.659,2.822,5,2,0,2,0,149,1407,210,8,1714.092,570.660,12.598,0.000,0.000,284.203,260.881,2.549,2,0,0,0,0,0,1428,157,4,2260.213,345.411,3.246,4.768,0.000,325.768,245.339,1.627,3,2,1,1,0,153,872,60,0,607.500,40.685,0.000,1.885,0.000,226.315,125.446,2.282,0,5,2,3,0,335,1297,175,1,1560.530,12.716,0.048,8.024,0.000,271.040,261.335,3.077,0,2,1,1,0,159,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,210,2838,0,233,30,0,0,0,0,0,4258,602,963,4778,1220,1073,0,0,0,0,0,0,0.000,13.430,865.183,268.251,0,0,0,66,65,171,1268,323,330,0,18,35,28,78,12,45,32,19,26,26,6,26,17,14,16,21,3,16,13,11,11,15,3,153,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.2851,0.2851,1,0,0
121,4.0,549,7318,0,176,217,64,92,1,50.00,0.822,0.867,0.215,0.195,0.218,-0.282,1.533,0.3692,1.6830,0.780,0.432,0.129,0.103,0.001,70,15,3,0,0,0,25610.02,1492.235,6841.787,3.360,209.117,21.940,2634.770,2318.482,1.428,2830.937,2264.750,134.062,989.958,114.155,0.000102,-0.001550,69,0,3,0,2,2,3098,27,0,0.000,462,47,28,0,0,28,0,691,33,28,2,0,19,7,3231,458,19,5257.604,4080.396,100.842,0.132,0.000,658.231,973.917,1.237,53,6,5,1,0,500,2149,299,13,2708.871,1543.454,26.448,0.000,0.000,412.640,314.964,2.812,14,0,0,0,0,0,1425,176,10,1477.860,475.109,10.259,0.737,0.000,285.893,334.235,1.258,1,4,3,1,0,400,1473,148,0,2632.500,399.826,0.000,2.491,0.000,337.113,236.899,0.788,2,3,2,1,0,323,795,62,0,675.000,43.414,0.000,0.000,0.000,192.721,118.477,0.812,0,1,1,0,0,106,1202,139,0,1095.000,7.349,0.000,0.000,0.000,244.425,224.833,2.565,0,4,4,0,0,426,1,0,0,0,0,0,0,1,0,0,0,0,2158,0,236,3000,0,339,30,0,0,0,0,0,4591,916,986,5675,2252,835,9,0,0,0,0,0,0.000,14.487,1483.595,214.898,0,0,0,63,81,207,1379,454,285,0,24,33,32,74,13,82,44,19,46,24,2,25,14,11,23,16,3,16,18,10,4,12,4,152,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.2295,0.2295,1,0,0
151,5.0,653,6211,63,182,341,48,82,0,75.15,0.831,0.904,0.217,0.185,0.194,-0.459,1.530,0.3552,1.8853,0.802,0.434,0.110,0.100,-0.000,73,38,8,0,1,0,30021.88,1548.494,11644.528,6.086,109.997,22.007,3132.332,3243.659,1.000,5772.381,4617.904,311.021,876.752,68.017,0.000109,-0.002932,69,0,5,3,6,4,3720,55,3,4.459,434,40,34,0,0,34,0,638,23,18,1,0,17,0,5859,821,11,11830.362,9423.555,29.546,0.238,0.000,1218.006,2000.337,11.012,131,12,9,3,0,716,2400,282,1,2388.288,1391.045,4.832,0.000,4.424,458.884,369.578,3.525,10,5,5,0,0,662,1254,124,2,1041.926,340.449,2.800,0.000,0.000,250.596,258.303,0.667,1,6,5,1,0,813,1345,99,0,1355.000,209.368,0.000,1.389,0.000,308.691,212.353,0.653,0,5,4,1,0,630,763,32,0,257.500,19.719,0.000,0.000,0.000,178.152,117.777,2.137,0,4,4,0,0,587,1011,70,0,560.000,4.456,0.000,0.000,0.036,198.370,156.950,1.114,0,12,11,0,1,1683,0,0,0,0,0,0,0,0,0,0,0,0,2165,25,240,3186,30,553,30,0,0,0,0,0,5034,1421,1253,7568,2884,1844,30,0,19,0,0,0,7.893,17.047,2136.548,448.596,0,0,0,87,77,227,1498,540,487,4,28,33,32,72,13,139,104,26,51,19,2,18,16,16,18,11,3,7,12,6,9,12,2,150,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1.0000,1.0000,7,7,7,0.4381,0.3183,11,0,0
181,6.0,802,4976,63,191,497,40,74,0,82.86,0.843,0.957,0.189,0.200,0.172,-0.564,1.524,0.3524,2.1633,0.777,0.424,0.080,0.098,0.006,73,36,30,0,0,0,34551.66,1640.157,16144.025,28.474,100.102,21.408,3934.253,4911.352,0.000,8251.245,6600.996,1436.060,1121.590,229.364,0.000147,-0.005273,44,0,26,4,26,22,4221,28,4,16.935,360,58,28,1,0,27,0,612,54,24,4,0,20,0,9916,976,6,16658.512,13231.046,65.435,1.435,15.468,2095.980,3587.170,42.401,188,36,14,22,0,1771,2606,366,6,3293.696,1960.189,13.442,0.000,0.000,508.921,632.036,2.989,13,9,6,3,0,1290,1110,113,2,888.631,298.957,2.274,0.724,1.467,218.465,208.353,2.379,0,3,3,0,0,483,1222,63,0,962.500,149.114,0.000,4.502,0.000,285.534,170.804,1.409,1,6,5,1,0,1010,618,33,2,263.051,19.911,1.647,4.878,0.000,138.021,71.558,2.401,0,3,3,0,0,501,696,49,0,367.500,3.726,0.000,0.000,0.000,136.727,66.869,2.167,0,5,5,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,2201,87,242,3295,67,743,44,0,0,0,0,0,5754,2443,1266,10384,3731,3229,30,0,10,0,0,0,18.969,19.462,3276.390,752.489,0,0,0,87,104,273,1699,574,580,5,39,34,29,66,18,209,138,36,32,79,3,19,18,11,14,10,2,8,10,5,5,10,2,147,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1.0000,1.0000,7,7,7,0.4444,0.3621,10,0,0
211,7.0,1062,3338,63,199,766,29,68,1,96.12,0.869,1.024,0.179,0.232,0.144,-0.658,1.548,0.3600,2.3303,0.750,0.347,0.068,0.097,0.034,86,69,47,0,0,0,43718.55,1681.963,25409.421,65.769,523.879,21.009,5166.029,6581.391,0.094,14485.260,11588.208,1696.616,1392.836,256.237,0.000217,-0.007429,76,0,37,10,35,26,5136,13,10,33.688,335,22,21,9,0,12,0,587,44,36,5,0,28,3,15548,1667,63,29749.403,23445.691,501.422,0.841,33.673,3324.835,4978.319,111.909,352,81,50,31,0,4785,2714,251,0,2075.000,1217.526,0.000,0.250,0.000,552.446,761.190,5.615,4,6,5,1,0,872,1048,101,0,827.500,281.147,0.000,1.296,0.000,206.332,228.331,1.022,2,5,2,3,0,724,1123,60,0,975.000,154.021,0.000,2.009,0.000,260.733,221.850,2.599,0,3,3,0,0,443,540,15,0,112.500,10.641,0.000,1.779,0.000,115.818,69.193,0.995,0,6,5,1,0,1236,570,13,0,97.500,1.271,0.000,25.904,0.015,112.837,52.737,12.433,0,5,4,1,0,995,0,0,0,0,0,0,0,0,0,0,0,0,2331,90,300,3525,119,1019,90,0,0,0,0,0,6594,2847,1587,14919,3991,4492,30,0,15,0,0,0,24.603,25.987,3730.851,1030.737,0,0,0,103,103,332,2176,424,681,8,45,28,33,70,15,184,206,40,57,269,10,23,21,6,7,11,0,7,7,4,3,6,2,146,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1.0000,1.0000,5,5,5,0.4314,0.3404,8,0,0
241,8.0,1258,2012,63,205,986,17,50,3,88.03,0.869,1.074,0.158,0.276,0.128,-0.716,1.546,0.3501,2.5270,0.782,0.293,0.060,0.097,0.050,58,81,113,0,0,0,48318.73,1818.950,26581.995,75.007,695.548,13.921,6904.089,7957.527,1.620,14724.625,11779.700,4332.900,1094.923,639.788,0.000167,-0.009646,102,0,104,9,101,92,5859,23,9,41.694,229,45,41,7,0,34,0,473,46,34,9,0,17,8,24056,1695,69,32395.521,25374.659,637.199,3.757,41.694,5213.746,6309.988,181.879,372,144,48,96,0,7163,2622,125,2,1138.124,684.388,5.322,0.000,0.000,544.684,839.099,2.166,3,11,8,3,0,1630,916,72,4,612.018,211.023,15.169,4.162,0.000,186.435,207.059,3.279,0,6,5,1,0,1372,899,47,4,836.266,128.545,4.562,8.396,0.000,210.876,191.677,2.706,0,12,10,2,0,2629,303,10,0,162.500,11.677,0.000,7.812,0.000,63.698,29.157,5.791,0,6,5,1,0,1359,410,2,0,15.000,0.055,0.000,9.187,0.000,79.919,37.053,5.697,0,6,5,1,0,1376,0,0,0,0,0,0,0,0,0,0,0,0,2300,117,419,3653,208,887,90,0,0,0,0,0,8014,2293,2306,21157,3342,6905,35,0,22,0,0,0,35.092,24.612,2921.530,1710.106,0,0,0,138,145,390,1999,278,543,17,41,30,33,69,15,174,279,99,105,323,6,18,13,6,4,8,1,3,4,2,2,5,1,147,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1.0000,1.0000,6,6,6,0.4023,0.3484,9,0,0
271,9.0,1377,1286,63,200,1128,10,39,4,97.92,0.852,1.112,0.146,0.310,0.115,-0.744,1.541,0.3509,2.6860,0.785,0.280,0.046,0.098,0.061,55,103,59,0,0,0,48839.72,1881.253,21372.462,43.046,653.004,11.039,7739.588,9595.410,3.850,10355.080,8284.064,1924.935,1102.014,338.956,0.000126,-0.010877,71,0,52,7,54,47,5251,1,7,26.144,137,12,12,5,0,7,0,268,47,29,0,0,29,0,29344,1254,66,26026.983,20402.919,637.415,1.922,26.144,6283.850,8377.449,128.276,275,127,78,49,0,8253,2443,113,1,1175.111,699.882,8.503,0.000,0.000,493.766,652.410,2.294,4,10,8,2,0,1622,739,38,2,314.494,112.087,4.681,0.000,0.000,152.020,167.753,1.287,0,3,3,0,0,742,550,20,1,404.167,62.965,2.031,0.000,0.000,133.273,73.195,1.870,0,8,8,0,0,1928,176,3,0,40.000,3.820,0.000,2.745,0.000,36.701,12.652,1.113,0,2,2,0,0,508,219,0,0,0.000,0.000,0.000,11.862,0.000,39.136,16.183,6.395,0,5,4,1,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,2244,151,467,3762,421,945,69,0,0,0,0,0,8390,1947,2304,24999,4824,5812,82,23,12,0,0,0,50.968,26.174,3864.886,1441.053,0,0,0,144,138,437,1445,329,295,21,51,27,29,54,18,281,244,178,172,200,53,8,12,6,3,9,1,1,3,2,2,2,0,128,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.0000,1.0000,6,6,6,0.3450,0.2759,9,0,0
301,10.0,1398,825,48,197,1163,4,34,7,104.76,0.844,1.141,0.133,0.367,0.111,-0.758,1.535,0.3571,2.7915,0.794,0.284,0.042,0.098,0.074,49,172,44,0,0,0,47559.61,1960.477,20513.841,35.219,792.692,10.323,8258.859,11148.410,9.168,8942.992,7154.394,1388.250,837.375,358.987,0.000146,-0.012559,81,0,36,8,40,32,4919,7,8,28.529,70,8,8,4,0,4,0,229,65,40,0,0,36,4,32584,1153,61,25446.078,19805.344,719.486,1.197,28.529,6967.835,10223.920,72.450,230,176,143,33,0,14403,2120,60,7,788.535,447.480,33.982,1.184,0.000,420.887,491.305,9.368,2,21,19,2,0,3226,702,19,0,177.500,59.192,0.000,0.000,0.000,144.215,133.889,1.495,0,3,3,0,0,885,406,10,6,220.075,27.694,8.879,0.000,0.000,99.704,42.647,2.614,0,2,2,0,0,558,97,0,0,0.000,0.000,0.000,4.309,0.000,16.570,6.399,2.835,0,3,2,1,0,850,115,0,0,0.000,0.000,0.000,0.000,0.000,21.964,5.958,0.065,0,3,3,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,2224,185,544,3657,500,936,60,0,0,0,0,0,8639,2887,1949,27291,7126,5408,94,62,32,0,0,0,57.633,25.973,5683.724,1274.998,0,0,0,149,188,472,1270,428,224,24,51,28,27,50,17,354,242,148,235,141,43,9,9,4,3,8,1,1,2,0,0,1,0,122,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0000,1.0000,5,5,5,0.3338,0.3468,7,0,0
